,0,0,0,0
0,2_3,15498.2433986,0.0,1.70404688615e-09
1,2_4,42240.8459278,0.0,3.00933120487e-10
2,2_5,79103.4916222,9.53674316406e-07,8.10238669724e-11
3,2_6,21852.0630426,-2.38418579102e-07,1.73005885989e-09
4,2_8,21478.2394321,0.0,4.6587532646e-10
5,2_9,20900.7798413,0.0,5.58427689814e-10
6,2_10,27600.7413244,-4.76837158203e-07,2.65475490035e-10
7,2_21,14863.5718045,-2.38418579102e-07,2.46475966782e-09
8,3_4,5661.40300708,0.0,1.55077941892e-09
9,3_5,9990.69653135,-4.76837158203e-07,1.24777063837e-09
10,3_6,5352.08509405,0.0,1.86879806757e-09
11,3_8,6153.63489275,0.0,9.48599553383e-10
12,3_9,6473.51864605,-4.76837158203e-07,9.00489035764e-10
13,3_10,7942.78424204,0.0,9.63466482215e-10
14,3_21,4706.65979998,-2.38418579102e-07,2.06996483137e-09
15,4_5,34727.1298472,-2.38418579102e-07,3.29085746748e-10
16,4_6,7248.88656539,0.0,1.77210822201e-09
17,4_8,10017.1259542,0.0,4.80423378487e-10
18,4_9,9075.81585387,4.76837158203e-07,5.49397999898e-10
19,4_10,13987.1654735,0.0,3.77485639336e-10
20,4_21,4618.20193636,0.0,2.73017863403e-09
21,5_6,13024.3806328,0.0,1.85819786213e-09
22,5_8,16022.1683064,4.76837158203e-07,4.07919062511e-10
23,5_9,15820.9726975,2.38418579102e-07,4.99271255935e-10
24,5_10,25653.7548898,0.0,2.43563504011e-10
25,5_21,7156.34324717,-2.38418579102e-07,2.50800887515e-09
26,6_8,5427.88929786,0.0,1.74494112062e-09
27,6_9,5480.84579351,0.0,1.40540241934e-09
28,6_10,7934.9684265,0.0,1.52146855179e-09
29,6_21,3487.14249622,0.0,1.87738408631e-09
30,8_9,8817.1598711,4.76837158203e-07,3.38095784415e-10
31,8_10,11825.3992503,4.76837158203e-07,3.88338499126e-10
32,8_21,4320.88235329,0.0,2.82680841968e-09
33,9_10,12465.5844877,0.0,4.13037455862e-10
34,9_21,4300.57130607,0.0,1.85228654784e-09
35,10_21,5793.09040072,0.0,2.08990735925e-09
