,1,2,3,4,5,6,8,9,10,21,22
1,1,0.1818182,0.2,0,0,0.173913,0.1111111,0.1111111,0.1904762,0.2222222,0.2
2,0.1818182,1,0.875,0,0.1333333,0.2105263,0.1428571,0.1428571,0.4705882,0.4285714,0.5
3,0.2,0.875,1,0,0.1538462,0.2352941,0.1666667,0.1666667,0.5333333,0.5,0.5714286
4,0,0,0,1,0,0,0,0,0,0,0
5,0,0.1333333,0.1538462,0,1,0,0,0.1818182,0,0,0
6,0.173913,0.2105263,0.2352941,0,0,1,0.1333333,0.1333333,0.2222222,0.2666667,0.2352941
8,0.1111111,0.1428571,0.1666667,0,0,0.1333333,1,0.8,0.4615385,0.2,0.1666667
9,0.1111111,0.1428571,0.1666667,0,0.1818182,0.1333333,0.8,1,0.4615385,0.2,0.1666667
10,0.1904762,0.4705882,0.5333333,0,0,0.2222222,0.4615385,0.4615385,1,0.4615385,0.5333333
21,0.2222222,0.4285714,0.5,0,0,0.2666667,0.2,0.2,0.4615385,1,0.6666667
22,0.2,0.5,0.5714286,0,0,0.2352941,0.1666667,0.1666667,0.5333333,0.6666667,1
