,0,0,0
0,1_2,556396493.596,36620.5441069
1,1_4,529486064.754,14475.4540376
2,1_5,581352213.415,21595.209802
3,1_8,474442061.956,8378.84352571
4,1_9,444440781.904,6397.17667841
5,1_10,478783088.795,9904.01197572
6,1_21,354617394.116,5045.36036189
7,1_22,338410043.313,5352.08509405
8,2_4,1554659378.53,58162.5447299
9,2_5,4360234231.85,100100.10361
10,2_8,1360050019.62,33199.9773699
11,2_9,1155847293.03,31485.8469262
12,2_10,1901011313.8,39022.7859368
13,2_21,433758783.325,25256.9230693
14,2_22,368787939.485,24343.7642724
15,4_5,1675794992.77,47015.3407513
16,4_8,1134374062.73,16207.852393
17,4_9,951451487.02,13976.2322314
18,4_10,1284134935.96,19802.4313061
19,4_21,401142239.589,9626.09463631
20,4_22,383061222.256,10571.5560699
21,5_8,1641978635.73,22857.621162
22,5_9,1395460324.74,20860.0947379
23,5_10,2497825717.91,31974.5174025
24,5_21,450361477.534,12333.8903394
25,5_22,392184132.494,13058.0709067
26,8_9,1265494626.5,10580.7889485
27,8_10,1386340733.72,14474.1017141
28,8_21,366425502.31,6337.13764661
29,8_22,370502338.591,6733.73188629
30,9_10,1162247631.26,13815.7626351
31,9_21,367932473.227,5051.1857656
32,9_22,353767716.321,5332.21551033
33,10_21,392834901.35,7419.43093609
34,10_22,369539167.338,7607.30118229
35,21_22,316466701.11,4502.91174946
