,0,0,0
0,2_3,418080709.516,15498.2433986
1,2_4,1737109241.31,42240.8459278
2,2_5,6876485520.5,79103.4916222
3,2_6,429739633.149,21852.0630426
4,2_8,1209454699.21,21478.2394321
5,2_9,1201231901.92,20900.7798413
6,2_10,2105407085.44,27600.7413244
7,2_21,320529760.854,14863.5718045
8,3_4,398246937.031,5661.40300708
9,3_5,573608533.475,9990.69653135
10,3_6,338410043.313,5352.08509405
11,3_8,472629079.788,6153.63489275
12,3_9,502638190.034,6473.51864605
13,3_10,551654281.239,7942.78424204
14,3_21,298507806.073,4706.65979998
15,4_5,2028068518.59,34727.1298472
16,4_6,403277309.37,7248.88656539
17,4_8,1052352478.6,10017.1259542
18,4_9,968534359.998,9075.81585387
19,4_10,1374991292.46,13987.1654735
20,4_21,273363167.61,4618.20193636
21,5_6,451500462.574,13024.3806328
22,5_8,1413216580.12,16022.1683064
23,5_9,1368976107.81,15820.9726975
24,5_10,2450066338.67,25653.7548898
25,5_21,331595216.176,7156.34324717
26,6_8,371270794.752,5427.88929786
27,6_9,390357668.117,5480.84579351
28,6_10,413053851.211,7934.9684265
29,6_21,256464510.016,3487.14249622
30,8_9,1175980944.28,8817.1598711
31,8_10,1194408530.09,11825.3992503
32,8_21,254791083.529,4320.88235329
33,9_10,1147824147.05,12465.5844877
34,9_21,296457395.915,4300.57130607
35,10_21,315203237.461,5793.09040072
